Language,URL,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features,Abstract
Befunge,https://esolangs.org/wiki/Befunge,1993,,push-down automata; turing complete,implemented,stack-based,languages; two-dimensional languages; low-level,"Befunge is a two-dimensional esoteric programming language invented in 1993 by Chris Pressey with the goal of being as difficult to compile as possible.  Code is laid out on a two-dimensional grid of instructions, and execution can proceed in any direction of that grid."
Piet,https://esolangs.org/wiki/Piet,2001,,turing complete,implemented,stack-based,languages; two-dimensional languages; low-level; thematic,"Piet is a stack-based esoteric programming language in which programs look like abstract paintings. It uses 20 colors, of which 18 are related cyclically through a lightness cycle and a hue cycle. A single stack is used for data storage, together with some unusual operations."
Malbolge,https://esolangs.org/wiki/Malbolge,1998,,finite state automata,usability unknown; implemented,cell-based,languages,
FALSE,https://esolangs.org/wiki/FALSE,1993,,turing complete,implemented,stack-based,languages; low-level,"FALSE (named after the author's favourite truth value) is an early Forth-like esoteric programming language invented by Wouter van Oortmerssen in 1993, with the goal of creating a powerful (and obfuscated) language with as small a compiler as possible. The original compiler is 1024 bytes, written in 68000 assembler. FALSE inspired the prominent esoteric languages Brainfuck and Befunge, among other languages."
Choon,https://esolangs.org/wiki/Choon,2002,,turing complete,implemented,,languages,"Choon is an esoteric programming language that produces musical notes as its only output. It also has no data storage, but it can read any note it has previously output. Choon is Turing-complete and was invented in 2002 by Stephen Sykes."
OISC,https://esolangs.org/wiki/OISC,,,,concepts,,,"OISC is the One Instruction Set Computer (by analogy with RISC and CISC), a machine providing only one instruction. The abbreviation URISC (Ultimate RISC) has been used in some publications with the same meaning as OISC."
Chef,https://esolangs.org/wiki/Chef,2002,,turing complete,implemented,stack-based,languages; low-level; thematic,Chef is a stack-based language where programs look like cooking recipes. Chef was designed by David Morgan-Mar in 2002.
Bullfrog,https://esolangs.org/wiki/Bullfrog,,,,implemented,stack-based,languages; low-level,"Bullfrog is an esoteric programming language, designed by Ryan Kusnery, without conditional jumps. It is a sort of cross between Forth and Assembly. Despite the lack of conditional jumps they can be simulated because the JUMP instruction gets an address from the top of the stack."
Kayak,https://esolangs.org/wiki/Kayak,2002,,turing complete,,,languages,Kayak is a reversible esoteric programming language designed and implemented in 2002 by Ben Rudiak-Gould. Any procedure can be run forwards or backwards. Running a procedure backwards is equivalent to reversing its characters.
Lazy K,https://esolangs.org/wiki/Lazy K,2002,functional paradigm,turing tarpits; turing complete,implemented,,languages,"Lazy K, designed by Ben Rudiak-Gould, is a Turing tarpit based on combinatory logic. It is lazily evaluated and purely functional."
RUBE,https://esolangs.org/wiki/RUBE,1997,,,usability unknown; implemented,,languages; two-dimensional languages,"RUBE, invented in 1997 by Chris Pressey, is a bully automaton which employs a ""warehouse paradigm"" for computing: crates representing data are pushed around by machines called ""dozers"", lifted by winches, moved along on conveyor belts, etc."
L00P,https://esolangs.org/wiki/L00P,2001,,,implemented,,languages; brainfuck derivatives,L00P is a Brainfuck-derived programming language designed by Georg Westenberger. Its name comes from the fact that every program is enclosed within an implicit loop.
Dis,https://esolangs.org/wiki/Dis,1998,,bounded-storage machine,usability unknown; implemented,cell-based,languages,"Dis is an esoteric programming language designed by Ben Olmstead to walk the line between humanly impossible to program in and just extremely painful. While it is not quite as fearsome as Malbolge, Dis is still pretty bad."
Jot,https://esolangs.org/wiki/Jot,2001,functional paradigm,turing complete; turing tarpits,no io; implemented,,languages,"Jot (pronounced /dʒɑt/) is a Turing tarpit designed by Chris Barker, described as ""a better Gödel-numbering"" than its ""sister language"" Iota. It is based on combinatory logic. Every combination of 0's and 1's is a syntactically valid Jot program, including the null program."
BIT,https://esolangs.org/wiki/BIT,2004,,unknown computational class,implemented,cell-based,low-level; languages,"BIT is an esoteric programming language invented by David Morgan-Mar that treats all data like C treats strings. The language is strongly typed, with two variable types: bit and address-of-a-bit."
NULL,https://esolangs.org/wiki/NULL,,,,implemented,queue-based,low-level; languages,NULL is a programming language in zero dimensions. Programs in it are single positive integers of arbitrarily large size.
BDAMD,https://esolangs.org/wiki/BDAMD,2003,,,implemented,cell-based,languages; two-dimensional languages; low-level,"BDAMD, or Basic Demonic Asinine Multi-Dimensional programming language, is an esoteric programming language created by Joseph Strom. It is a Fungeoid similar to Brainfuck and Numberix."
INTERCAL,https://esolangs.org/wiki/INTERCAL,,,turing complete,implemented,,languages; low-level,"INTERCAL, an abbreviation for Compiler Language With No Pronounceable Acronym, was created in 1972, thus probably making it the first ever esoteric programming language. (See Prehistory of Esoteric Languages for an alternate view.)  Donald R. Woods and James M. Lyon invented it with the goal of creating a language with no similarities whatsoever to any existing programming languages. The language largely succeeds in this goal, apart from its use of an assignment statement. It also suffers from being one-dimensional, and the original version uses binary (but TriINTERCAL was created as a modern ternary version)."
Blank,https://esolangs.org/wiki/Blank,1997,,unknown computational class,implemented,stack-based,languages,Blank is a stack-based esoteric programming language developed by Andrew Turley in 1997.  Blank programs use single-character instructions contained within braces and numbers contained within brackets.  Each number is an 'instruction' in the sense that 'executing' a number means to push it onto the stack.
Bubble,https://esolangs.org/wiki/Bubble,2001,,,unimplemented,,languages,"Bubble (not to be confused with Bubbles) is an esoteric programming language designed by Jeffry Johnston in 2001, based on the bubble sort algorithm."
ETA,https://esolangs.org/wiki/ETA,1999,,,implemented,stack-based,languages,"ETA is an esoteric programming language designed by Mike Taylor in 1999. The name comes from its instruction set, based on the eight most common letters in the English language: E, T, A, O, I, N, S, H. ""Eta"" is also the seventh letter in the Greek alphabet, and ETA uses base-7 numbering. The language is stack-based and all characters that are not instructions are treated as comments.
Eta has 7 instructions:"
Fromage,https://esolangs.org/wiki/Fromage,2000,,,implemented,,languages,"Fromage is an esoteric programming language with ten instructions, all of which operate only on single bits. The name comes from FReakish Outright Mad languAGE."
GOTO++,https://esolangs.org/wiki/GOTO++,2002,,unknown computational class,implemented,,languages,"GOTO++ is a parody programming language designed by Sidoine de Wispelaere with help from Alexandre Béraud, based on the extensive use of GOTOs and labels (despite them being traditionally ""considered harmful"" in the programming community). Its keywords are some interesting mix of English and French."
Java2K,https://esolangs.org/wiki/Java2K,2000,,,implemented,,languages,"Java2K, devised by Gerson Kurz, is a probabilistic esoteric programming language; each function may or may not do what the programmer intended to do. The language uses a base-11 number system to approximate base 10."
REDGREEN,https://esolangs.org/wiki/REDGREEN,1999,,,implemented,cellular automata,languages; two-dimensional languages,"REDGREEN is an update to RUBE, written in ALPACA.  Unlike RUBE, it is a proper cellular automaton, not a bully automaton.  As such, its description is much cleaner and its behavior is easier to predict, while it retains most of the ""feel"" of RUBE."
SARTRE,https://esolangs.org/wiki/SARTRE,,,,unimplemented,,joke languages; languages,"SARTRE was originally a fictional programming language invented as a joke by John Unger Zussman, published in a list of ""lesser known programming languages"" in 1982, named after Jean-Paul Sartre, a French existentialist philosopher. He described it like this:"
Sorted!,https://esolangs.org/wiki/Sorted!,2000,,,,,languages,"Sorted! is a bilingual esoteric programming language written by Gerson Kurz, supporting both English and German. Every program consists of exactly 14 statements."
Thue,https://esolangs.org/wiki/Thue,2000,,turing complete; turing tarpits,implemented,,languages; low-level,
True,https://esolangs.org/wiki/True,1999,,,implemented,,languages,True is a variant of False with no random-access storage. All text files are valid True programs.
3code,https://esolangs.org/wiki/3code,2004,,unknown computational class,implemented,,languages,"3code is an esoteric programming language somewhat like functional programming created by Sean Heber (2004). Programs are limited to 3 local variables and 3 global variables, but can contain a number of function definitions and function calls."
Spiral,https://esolangs.org/wiki/Spiral,2003,,,implemented,deque-based,two-dimensional languages; languages,"Spiral, devised by User:Quintopia, is an esoteric programming language in two dimensions.  Unlike other two-dimensional languages (exception: Wierd), the instruction pointer decides where to move based on where there is code to execute.  In addition, the only data structure is a deque."
Toadskin,https://esolangs.org/wiki/Toadskin,,,turing complete; turing tarpits,implemented,stack-based,languages; brainfuck derivatives,Toadskin is a minimal esoteric programming language based on combining aspects of brainfuck and Forth.
Unlambda,https://esolangs.org/wiki/Unlambda,1999,functional paradigm,turing tarpits; turing complete,implemented,,languages,"Unlambda, designed by David Madore in 1999, is a minimal functional esoteric programming language based on combinatory logic. Notably, it was the first functional paradigm Turing tarpit."
ZT,https://esolangs.org/wiki/ZT,2002,,,implemented,,two-dimensional languages; languages,ZT is a two-dimensional esoteric programming language invented by Philipp Winterberg in which program flow is diagonal and commands are determined by the direction of program flow.
Sortle,https://esolangs.org/wiki/Sortle,2005,,turing complete,output only; implemented,,high-level; languages,"Sortle is an esoteric programming language created by Scott Feeney in 2005 based on the concept of insertion sort. Programs consist of lists of named expressions, which are sorted and evaluated from top to bottom. Expressions have no side effects; the result of an expression becomes the new name of the expression, and the list's order is adjusted accordingly."
Aheui,https://esolangs.org/wiki/Aheui,2005,,turing complete,implemented,stack-based; queue-based,languages; two-dimensional languages; cjk,"Aheui (아희 in Korean language) is the first esoteric programming language ever to be designed for Hangul, the Korean alphabet, designed by User:Puzzlet Chung."
ZOMBIE,https://esolangs.org/wiki/ZOMBIE,2004,,,implemented,,languages; thematic; high-level,"ZOMBIE, according to its author David Morgan-Mar, stands for Zombie-Oriented Machine-Being Interface Engine and was designed for necromancers, particularly evil ones."
PingPong,https://esolangs.org/wiki/PingPong,2001,object-oriented paradigm,turing complete,implemented,stack-based,languages; two-dimensional languages; low-level,PingPong is a 2D esoteric programming language similar to Befunge.
Ypsilax,https://esolangs.org/wiki/Ypsilax,2001,,turing complete,implemented,,languages; two-dimensional languages,"Ypsilax, invented by Chris Pressey in 2001, is a reflective (i.e. potentially self-modifying), non-deterministic esoteric programming language based on grid-rewriting.  Both the program and its state are rendered as symbols in a grid; in this manner, rules may rewrite the state, other rules, or both."
2iota,https://esolangs.org/wiki/2iota,2004,,turing tarpits; turing complete,implemented,,languages,"2iota is an esoteric programming language devised by Chris Pressey in 2004.  The successor to beta-Juliet and Portia, it is fairly minimal, aiming to be an event-oriented Turing tarpit."
Version,https://esolangs.org/wiki/Version,2001,,,implemented,,languages; high-level,"Version is an esoteric programming language based on the concept of ignorance-spaces, created by Chris Pressey in 2001."
Strelnokoff,https://esolangs.org/wiki/Strelnokoff,2001,,turing complete,implemented,,languages,"Strelnokoff is an esoteric programming language devised by Chris Pressey in 2001.  It is a non-deterministic imperative programming language; each instruction updates the global state of the program, but there is no guarantee as to the order in which instructions are executed."
Brackets,https://esolangs.org/wiki/Brackets,2000,,unknown computational class,usability unknown; implemented,,languages; low-level,[] is an esoteric programming language designed by Gerson Kurz which uses only the various brackets as commands.
0x29A,https://esolangs.org/wiki/0x29A,2004,,turing complete,implemented,stack-based,languages; low-level,"0x29A is an esoteric programming language created by David Lewis in 2004. It uses a mixture of imperative and functional programming, forming a new paradigm the creator calls dysfunctional programming."
Ale,https://esolangs.org/wiki/Ale,2003,,,implemented,cell-based,languages; low-level,Ale is an esoteric programming language designed by David Chipping.  It was named after what the author happened to be drinking at the time.
Emoticon,https://esolangs.org/wiki/Emoticon,2004,,turing complete,implemented,,languages; thematic,"Emoticon, designed by David Donachie in 2004, is an esoteric programming language which uses smileys for program instructions."
Enema,https://esolangs.org/wiki/Enema,2002,,,implemented,stack-based,languages,"Enema is an esoteric programming language in which most instructions can be redefined.
It was inspired by the Unefunge language (one-dimensional version of Befunge)."
REVERSE,https://esolangs.org/wiki/REVERSE,,,turing tarpits,implemented,,languages,"REVERSE is an esoteric programming language devised by Brian C. Smith. It supports control flow only by reversing direction, top to bottom (moving South) or bottom to top (moving North). Decision making is done by reversing as well. Data is manipulated within integers, floating points, and characters. Integers are signed and have no limits."
BFM,https://esolangs.org/wiki/BFM,2001,,,,,languages; brainfuck derivatives,"BFM, devised by Frédéric van der Plancke, is Brainfuck with macros, an extension to the popular Turing tarpit."
Boolfuck,https://esolangs.org/wiki/Boolfuck,2004,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck derivatives; low-level,"Boolfuck is an esoteric programming language based on Brainfuck, but operating only on bits. It does, however, provide input and output."
BogusForth,https://esolangs.org/wiki/BogusForth,2004,,turing complete,implemented,stack-based,languages,BogusForth is an esoteric programming language inspired by Forth and False. BogusForth was created by Antonio Maschio in 2004.
Fortuna,https://esolangs.org/wiki/Fortuna,,,unknown computational class,unimplemented,,languages; brainfuck derivatives,"Fortuna is an esoteric programming language inspired by Brainfuck. Its mechanisms are based around the idea of a wheel, making Fortuna a turning tarpit."
SMITH sharp,https://esolangs.org/wiki/SMITH sharp,2000,,,,cell-based,languages,"SMITH# is an esoteric programming language by Gerson Kurz, descended from SMITH."
4DL,https://esolangs.org/wiki/4DL,2001,,,implemented,stack-based; multi-dimensional languages,languages,"4DL, which stands for 4 Dimensional Language, is an esoteric programming language designed by Cliff L. Biffle. 4DL programs exist in four-dimensional space. They are based around a single stack."
Gammaplex,https://esolangs.org/wiki/Gammaplex,2004,,turing complete,implemented,,languages; two-dimensional languages; high-level,Gammaplex is an esoteric programming language designed by Lode Vandevenne.  It is similar to Befunge in some respects; what makes it especially remarkable is the support for mouse input and graphical output.
BitChanger,https://esolangs.org/wiki/BitChanger,2000,,turing tarpits; turing complete,implemented,cell-based,languages; brainfuck derivatives; low-level,"BitChanger is a version of brainfuck that operates only on bits, and was created December 2, 2000 by Jeffry Johnston."
Prelude,https://esolangs.org/wiki/Prelude,2005,,turing complete,implemented,stack-based,languages,"Prelude is an esoteric programming language created by Nikita Ayzikovsky in 2005. It uses several ""voices"", or ""parts"", each with its own stack, executing instructions in parallel. It is Turing-complete (it is trivial to compile Brainfuck into Prelude using just two voices)."
Fugue,https://esolangs.org/wiki/Fugue,2005,,turing complete,implemented,stack-based,languages,"Fugue is an esoteric programming language created by Nikita Ayzikovsky in 2005. It shares semantics with its sister language, Prelude, but uses music as source code. Each ""voice"" in Prelude is indeed a separate voice in Fugue. Simultaneous instructions in Prelude correspond to notes in different voices sounding simultaneously; other than that, note durations don't matter."
Flip,https://esolangs.org/wiki/Flip,2001,,turing complete,implemented,concurrent programming,languages; two-dimensional languages,"Flip is a two-dimensional esoteric programming language designed by Rune Zedeler and Erik Søe Sørensen. Computation is performed by balls carrying values colliding with playfield elements; it has been described as ""a little like a game of billiards, if you play Programmers' Billiards."" The only other data storage mechanism is the possibility to self-modifyingly flip diagonal walls (called ""flippers"") - similarily to how the much newer BackFlip operates. Combined with elements which split and combine balls this requires rather than allows for multithreaded programming."
Bub,https://esolangs.org/wiki/Bub,,,turing complete,implemented,,languages; brainfuck derivatives,"Bub (Brainfuck Ugly Bodge) is a variant of Brainfuck designed by Matthew Westcott.  The essential difference is that Brainfuck's ""while""-like instructions are replaced by ""GOTO""-like ones."
Spaghetti,https://esolangs.org/wiki/Spaghetti,2001,,finite state automata,implemented,,languages,"Spaghetti, created by Jeffry Johnston in 2001, is ""designed to produce spaghetti code, to the point where every program line can be arranged pretty much randomly and the program should still function properly."""
Please Porige Hot,https://esolangs.org/wiki/Please Porige Hot,2004,,,implemented,,languages,Please Porige Hot [sic] is an esoteric programming language by User:Zzo38 with a superficial resemblance to SON-OF-UNBABTIZED.
Revaver,https://esolangs.org/wiki/Revaver,,,,,stack-based,languages,Revaver is a reversible esoteric programming language by zzo38.
Sansism,https://esolangs.org/wiki/Sansism,2003,,turing complete; turing tarpits,implemented,cell-based; multi-dimensional languages,languages; brainfuck derivatives; two-dimensional languages; low-level,"Sansism is an esoteric programming language devised by Safalra (Stephen Morley) in November 2003.  It is based on Brainfuck and Befunge. Originally a two-dimensional language, it was later generalised to function in any number of dimensions while still using the same eight instructions. Sansism is Turing Complete."
REGXY,https://esolangs.org/wiki/REGXY,,,turing tarpits,implemented,,languages,"REGXY is an esoteric programming language by User:Zzo38 based on regular expressions. It has two kinds of command, test and change. The program operates on an input string starting at the top of the program and running each command. On reaching the end it outputs the string. The command syntax and meaning is:"
YABALL,https://esolangs.org/wiki/YABALL,2005,,turing tarpits; turing complete,implemented,cell-based,languages; two-dimensional languages; brainfuck derivatives,"YABALL is a language inspired by Brainfuck, invented by Jannis Harder in 2005. Its aim is to add a more obscure code flow to Brainfuck. YABALL has a 2-dimensional code flow and 2 different flow modes. It's an acronym for Yet Another Brainfuck A Like Language. By an impossible accident the name YABALL has the same pronounciation as the Polish word for a cheap apple wine."
Beturing,https://esolangs.org/wiki/Beturing,2005,,,implemented,,languages; two-dimensional languages,"Beturing is an esoteric programming language devised by Chris Pressey in 2005; it is described as a ""Befunge-flavoured Turing machine""."
Archway,https://esolangs.org/wiki/Archway,2005,,,implemented,cell-based,languages; low-level; two-dimensional languages; brainfuck derivatives,"Archway is an esoteric programming language devised by Scott Feeney in 2005 to disprove a strong claim of the wire-crossing problem; that is, to prove that a universal Turing machine's state diagram need not allow for the possibility of nonplanar graphs. This goal was inspired by Beturing. Nothing was actually disproven by Archway, however, because the method given for translating Brainfuck programs to Archway was invalid."
Qdeql,https://esolangs.org/wiki/Qdeql,2005,,turing complete,implemented,queue-based,languages; low-level,Qdeql is an esoteric programming language devised by Scott Feeney that provides a single queue of bytes as the only form of memory available to programs.
Beatnik,https://esolangs.org/wiki/Beatnik,2001,,,usability unknown; implemented,stack-based,languages; low-level,"Beatnik is a stack-based esoteric programming language created by Cliff L. Biffle. The code looks like English-language text (typically with sentences that don't make a lot of sense). The words are scored according to the rules of the Scrabble board game, and the score is used to determine the operation."
NUMPAD,https://esolangs.org/wiki/NUMPAD,2002,,,implemented,,languages,"NUMPAD is a programming language designed by Kevin Albrecht in 2002.  While not explicitly esoteric, it is fairly unusual.  Arbitrary streams of letters are valid NUMPAD programs; each is interpreted a number as if it were keyed in on a telephone number pad."
Taxi,https://esolangs.org/wiki/Taxi,2005,,,implemented,,languages; thematic,Taxi is an esoteric programming language invented by Sean Heber in 2005. Programs are built by giving directions to destinations on a map which is where computation takes place. The virtual taxi the programmer controls can carry up to three data passengers at one time between destinations. The passengers pay the driver for this service and in turn the programmer must be sure to stop by a gas station from time to time or else the car will run out of fuel prematurely ending the program.
Smurf,https://esolangs.org/wiki/Smurf,2001,,turing complete; turing tarpits,implemented,stack-based,languages,"Smurf is an esoteric programming language designed by Matthew Westcott in an attempt to cut down Muriel to the bare minimum, retaining that language's self-propagation paradigm. The only native data type is the string."
Braktif,https://esolangs.org/wiki/Braktif,2005,,,implemented,cellular automata,languages; two-dimensional languages; brainfuck derivatives,"Braktif is a 28-state cellular automaton, defined in ALPACA by Chris Pressey in 2005, which simulates the action of a language very similar to both Smallfuck (in terms of instruction set) and Archway (in terms of program structure).  It was ostensibly designed as yet another test of the wire-crossing problem, but it is far more likely it was just done for entertainment."
NegaPosi,https://esolangs.org/wiki/NegaPosi,,,,implemented,,languages,"NegaPosi is an esoteric programming language devised by SASADA Koichi.  Like Sorta, it was ostensibly created for the purpose of submitting an interpreter for it to an obfuscated programming contest."
TRANSCRIPT,https://esolangs.org/wiki/TRANSCRIPT,2002,,,implemented,,languages; thematic,"TRANSCRIPT is an esoteric programming language devised by Ryan Freebern in 2002 where programs resemble IF (interactive fiction, or ""adventure game"") transcripts."
Obfuna,https://esolangs.org/wiki/Obfuna,,,turing tarpits,implemented,,languages,Obfuna is an esoteric programming language devised by Steve Engledow in 2004 or so. Each instruction is a unary operator.
XS,https://esolangs.org/wiki/XS,,,,total,,languages,"XS is an obfuscated programming language, devised by Mark Carter, which is based on XML."
AutoMouse,https://esolangs.org/wiki/AutoMouse,1998,,,implemented,,languages; two-dimensional languages,"AutoMouse is a screen-scrubbing utility for Microsoft Windows, written by Kakuya Yamamoto.  When it is combined with a suitable environment, such as Microsoft Paint, it becomes an interesting esoteric programming language."
23,https://esolangs.org/wiki/23,2002,,,implemented,,languages,23 is an esoteric programming language designed by Philipp Winterberg. It has several different notations; the default notation consists entirely of whitespace characters.
THRAT,https://esolangs.org/wiki/THRAT,2004,,turing tarpits; turing complete,implemented,cell-based,languages; brainfuck derivatives,"THRAT is a Brainfuck-derived esoteric programming language devised by Mate Varga in 2004.  It uses two instructions to select from a table of ten operations, in the style of ReMorse."
Haifu,https://esolangs.org/wiki/Haifu,2002,,,implemented,,languages,"Note: all information on this article comes from here, so there may be some mistakes."
